iter	Passed	Remaining
0	46	4574
1	70	3436
2	93	3017
3	116	2797
4	139	2649
5	163	2569
6	193	2573
7	218	2516
8	243	2465
9	268	2415
10	292	2367
11	316	2322
12	341	2285
13	365	2246
14	389	2205
15	413	2169
16	447	2186
17	484	2205
18	522	2228
19	555	2220
20	582	2192
21	608	2157
22	632	2116
23	656	2078
24	679	2038
25	703	2001
26	727	1966
27	751	1932
28	774	1896
29	798	1863
30	826	1839
31	851	1808
32	875	1777
33	899	1746
34	922	1713
35	945	1681
36	969	1650
37	996	1625
38	1022	1599
39	1047	1571
40	1076	1548
41	1100	1519
42	1125	1492
43	1151	1465
44	1175	1436
45	1198	1407
46	1222	1378
47	1248	1352
48	1278	1330
49	1301	1301
50	1324	1272
51	1347	1243
52	1371	1215
53	1393	1187
54	1416	1159
55	1439	1130
56	1463	1103
57	1486	1076
58	1510	1049
59	1543	1028
60	1576	1007
61	1601	981
62	1625	954
63	1648	927
64	1671	899
65	1701	876
66	1727	850
67	1750	823
68	1773	796
69	1796	769
70	1819	743
71	1842	716
72	1866	690
73	1888	663
74	1911	637
75	1933	610
76	1956	584
77	1978	558
78	2008	533
79	2038	509
80	2070	485
81	2101	461
82	2128	435
83	2152	409
84	2175	383
85	2201	358
86	2225	332
87	2251	306
88	2276	281
89	2299	255
90	2324	229
91	2347	204
92	2374	178
93	2397	153
94	2420	127
95	2443	101
96	2467	76
97	2490	50
98	2513	25
99	2536	0
