length,accuracy,f1,precision,recall,roc
1,0.5333,0.5322,0.5336,0.5333,0.5333
2,0.5400,0.5394,0.5401,0.5400,0.5399
3,0.5610,0.5605,0.5613,0.5610,0.5610
4,0.5523,0.5522,0.5523,0.5523,0.5523
5,0.5601,0.5601,0.5601,0.5601,0.5601
6,0.5784,0.5783,0.5784,0.5784,0.5783
7,0.5850,0.5850,0.5850,0.5850,0.5850
8,0.5977,0.5976,0.5977,0.5977,0.5977
9,0.6045,0.6044,0.6045,0.6045,0.6044
10,0.6063,0.6063,0.6063,0.6063,0.6063
11,0.6119,0.6118,0.6119,0.6119,0.6119
12,0.6168,0.6167,0.6168,0.6168,0.6168
13,0.6236,0.6235,0.6236,0.6236,0.6236
14,0.6392,0.6392,0.6393,0.6392,0.6392
15,0.6442,0.6441,0.6442,0.6442,0.6442
16,0.6490,0.6490,0.6490,0.6490,0.6490
17,0.6502,0.6502,0.6503,0.6502,0.6502
18,0.6504,0.6504,0.6505,0.6504,0.6504
19,0.6459,0.6459,0.6459,0.6459,0.6459
20,0.6475,0.6475,0.6475,0.6475,0.6475
21,0.6465,0.6465,0.6466,0.6465,0.6465
22,0.6479,0.6478,0.6479,0.6479,0.6479
23,0.6529,0.6529,0.6529,0.6529,0.6529
24,0.6561,0.6560,0.6561,0.6561,0.6561
25,0.6633,0.6633,0.6634,0.6633,0.6634
26,0.6627,0.6627,0.6629,0.6627,0.6627
27,0.6600,0.6599,0.6600,0.6600,0.6600
28,0.6637,0.6637,0.6638,0.6637,0.6637
29,0.6640,0.6639,0.6640,0.6640,0.6640
30,0.6622,0.6621,0.6622,0.6622,0.6622
31,0.6629,0.6628,0.6629,0.6629,0.6628
32,0.6627,0.6627,0.6628,0.6627,0.6627
33,0.6672,0.6672,0.6673,0.6672,0.6672
34,0.6642,0.6641,0.6642,0.6642,0.6642
35,0.6635,0.6635,0.6636,0.6635,0.6635
36,0.6653,0.6653,0.6654,0.6653,0.6653
37,0.6637,0.6637,0.6638,0.6637,0.6638
38,0.6646,0.6646,0.6646,0.6646,0.6646
39,0.6648,0.6648,0.6648,0.6648,0.6648
40,0.6660,0.6659,0.6660,0.6660,0.6660
41,0.6651,0.6651,0.6652,0.6651,0.6651
42,0.6642,0.6642,0.6643,0.6642,0.6642
43,0.6694,0.6694,0.6694,0.6694,0.6694
44,0.6694,0.6694,0.6695,0.6694,0.6694
45,0.6704,0.6704,0.6705,0.6705,0.6704
46,0.6697,0.6697,0.6697,0.6697,0.6697
47,0.6703,0.6702,0.6703,0.6703,0.6702
48,0.6705,0.6705,0.6706,0.6705,0.6705
49,0.6708,0.6708,0.6708,0.6708,0.6708
50,0.6694,0.6694,0.6695,0.6694,0.6694
51,0.6704,0.6703,0.6704,0.6704,0.6704
52,0.6689,0.6689,0.6690,0.6689,0.6689
53,0.6731,0.6730,0.6731,0.6731,0.6730
54,0.6717,0.6717,0.6717,0.6717,0.6717
55,0.6699,0.6699,0.6699,0.6699,0.6699
56,0.6767,0.6767,0.6768,0.6767,0.6768
57,0.6740,0.6740,0.6741,0.6740,0.6740
58,0.6825,0.6824,0.6825,0.6825,0.6825
59,0.6793,0.6792,0.6793,0.6793,0.6793
60,0.6810,0.6809,0.6810,0.6810,0.6810
61,0.6806,0.6806,0.6807,0.6806,0.6806
62,0.6810,0.6810,0.6810,0.6810,0.6810
63,0.6781,0.6780,0.6781,0.6781,0.6780
64,0.6803,0.6803,0.6803,0.6803,0.6803
65,0.6845,0.6845,0.6846,0.6845,0.6845
66,0.6835,0.6835,0.6835,0.6835,0.6835
67,0.6790,0.6790,0.6790,0.6790,0.6790
68,0.6857,0.6857,0.6858,0.6857,0.6858
69,0.6811,0.6811,0.6811,0.6811,0.6811
70,0.6811,0.6811,0.6811,0.6811,0.6811
71,0.6822,0.6821,0.6822,0.6822,0.6822
72,0.6837,0.6837,0.6838,0.6837,0.6837
73,0.6805,0.6805,0.6805,0.6805,0.6805
74,0.6889,0.6889,0.6889,0.6889,0.6889
75,0.6828,0.6828,0.6829,0.6828,0.6828
76,0.6834,0.6833,0.6834,0.6834,0.6834
77,0.6851,0.6850,0.6851,0.6851,0.6851
78,0.6876,0.6876,0.6876,0.6876,0.6876
79,0.6848,0.6848,0.6849,0.6848,0.6848
80,0.6821,0.6820,0.6821,0.6821,0.6821
81,0.6843,0.6842,0.6843,0.6843,0.6843
82,0.6854,0.6854,0.6854,0.6854,0.6854
83,0.6861,0.6860,0.6861,0.6861,0.6861
84,0.6868,0.6868,0.6869,0.6868,0.6868
85,0.6841,0.6840,0.6841,0.6841,0.6841
86,0.6845,0.6845,0.6845,0.6845,0.6845
87,0.6898,0.6898,0.6898,0.6898,0.6898
88,0.6853,0.6852,0.6853,0.6853,0.6853
89,0.6895,0.6895,0.6896,0.6895,0.6896
90,0.6855,0.6855,0.6855,0.6855,0.6855
91,0.6883,0.6883,0.6883,0.6883,0.6883
92,0.6847,0.6847,0.6847,0.6847,0.6847
