cons1,cons2,cons3,cons4,cons5,cons6,cons7,cons8,cons9,cons10,cons11,cons12,label
0.104,2.55,1.012,0.246,0.838,0.352,0.162,0.009,0.014,0.021,0.006,0.005,1
0.132,2.519,1.201,0.286,0.814,0.371,0.186,0.005,0.029,0.029,0.005,0.005,1
-0.094,2.691,1.056,0.178,0.871,0.285,0.129,0.006,0.011,0.018,0.005,0.004,1
0.386,2.885,0.973,0.286,0.785,0.484,0.215,0.028,0.039,0.056,0.021,0.017,1
0.849,2.713,1.203,0.588,0.531,0.688,0.469,0.052,0.077,0.103,0.041,0.034,1
1.016,2.814,1.359,0.588,0.473,0.661,0.527,0.041,0.069,0.09,0.028,0.025,1
0.24,2.784,1.037,0.286,0.804,0.385,0.196,0.016,0.024,0.035,0.012,0.009,1
1.444,2.89,1.433,0.736,0.311,0.802,0.696,0.048,0.103,0.132,0.04,0.04,1
-0.421,2.269,1.029,0.102,0.934,0.177,0.066,0.001,0.002,0.004,0,0,1
0.292,2.89,1.147,0.312,0.762,0.414,0.238,0.02,0.029,0.043,0.016,0.013,1
0.102,2.325,0.923,0.225,0.835,0.335,0.165,0.004,0.011,0.02,0.004,0.003,1
0.446,2.5,1.14,0.401,0.678,0.499,0.322,0.027,0.047,0.065,0.02,0.018,1
0.41,2.655,1.11,0.326,0.752,0.404,0.248,0.026,0.033,0.052,0.024,0.021,1
0.054,2.878,0.843,0.185,0.882,0.333,0.118,0.007,0.011,0.02,0.005,0.004,1
0.928,2.073,0.85,0.613,0.602,0.764,0.398,0.071,0.091,0.129,0.052,0.044,1
0.054,2.235,0.986,0.252,0.816,0.346,0.184,0.008,0.008,0.011,0.004,0.004,1
0.381,2.438,1.209,0.367,0.713,0.473,0.287,0.016,0.024,0.042,0.007,0.007,1
0.575,2.817,1.294,0.424,0.67,0.511,0.33,0.017,0.034,0.047,0.013,0.011,1
0.025,1.577,0.614,0.055,0.645,0.222,0.03,0.009,0.015,0.023,0.006,0.003,1
0.055,1.443,0.496,0.003,0.105,0.019,0.001,0.001,0.001,0.002,0,0,1
0.012,2.937,0.68,0.113,0.937,0.211,0.063,0.002,0.004,0.009,0.001,0.001,1
0.351,2.941,0.919,0.296,0.794,0.465,0.206,0.021,0.029,0.046,0.015,0.012,1
0,0,0,0,0,0,0,0,0,0,0,0,1
-0.014,2.677,1.001,0.226,0.846,0.296,0.155,0.008,0.012,0.019,0.006,0.005,1
0.015,2.639,0.731,0.154,0.915,0.314,0.085,0.004,0.008,0.017,0.002,0.001,1
0.561,2.821,1,0.437,0.694,0.577,0.307,0.034,0.052,0.076,0.027,0.022,1
0.1,2.447,0.998,0.208,0.846,0.324,0.154,0.007,0.014,0.022,0.006,0.004,1
0.225,2.713,1.318,0.321,0.743,0.396,0.258,0.019,0.026,0.042,0.015,0.013,1
0.151,2.927,0.908,0.233,0.849,0.38,0.152,0.011,0.016,0.027,0.007,0.006,1
0.134,2.61,0.886,0.217,0.868,0.387,0.132,0.01,0.019,0.031,0.007,0.005,1
1.334,2.505,1.24,0.762,0.363,0.824,0.637,0.066,0.109,0.141,0.059,0.047,1
-0.031,2.793,0.987,0.181,0.888,0.329,0.112,0.007,0.012,0.021,0.005,0.004,1
1.344,2.619,1.218,0.755,0.326,0.809,0.674,0.052,0.097,0.131,0.049,0.039,1
-0.008,2.736,0.962,0.188,0.873,0.313,0.127,0.006,0.01,0.018,0.004,0.003,1
0.415,2.596,0.976,0.341,0.762,0.455,0.238,0.014,0.025,0.039,0.012,0.008,1
1.474,2.316,0.984,0.837,0.215,0.881,0.785,0.089,0.136,0.178,0.077,0.069,1
0.355,2.937,1.057,0.312,0.751,0.458,0.249,0.023,0.034,0.052,0.018,0.014,1
