alu1,alu2,alu3,alu4,alu5,class
0,0,222,0.15767,0,1
0,0,120,0.571429,0.052133,1
0,0,567,0.088153,0.027359,1
0.00012,0.00012,138,0.016545,0,1
0,0,189,0.430524,0,1
0,0,147,0.229329,0,1
0,0.000191,36,0.006874,0,1
0,0,273,1,0.065693,1
0,0,195,0.048339,0,1
0,0.00014,273,0.038305,0,1
0,0,63,0.052986,0.033613,1
0,0,276,0.322807,0.059579,1
0,0,108,0.255319,0,1
0.00008,0.000196,345,0.003076,0.032401,1
0,0,237,0.651099,0.021918,1
0,0,261,0.981203,0,1
0,0,351,0.825882,0.049296,1
0,0,378,0.480916,0.045743,1
0.000994,0.000596,132,0.026232,0.017485,1
0.000083,0.000294,249,0.001145,0.022408,1
0.000046,0.000369,54,0.00083,0.000645,1
0.000192,0.000345,159,0.001015,0,1
0,0,129,0.509881,0.051181,1
0,0,162,0.034141,0,1
0.0003,0,384,0.038342,0,1
0.000296,0.000296,528,0.156352,0,1
0,0.000259,465,0.120217,0,1
0,0,468,0.24554,0.048768,1
0,0.000511,309,0.039464,0,1
0.000077,0.000308,1467,0.113064,0,1
0,0,195,0.761719,0,1
0.000481,0,522,0.08364,0,1
0,0,570,0.956376,0.061977,1
0.000238,0.000119,162,0.019283,0.0219,1
0,0,690,0.281518,0,1
0,0,597,0.899096,0.069173,1
0,0.000178,165,0.014707,0.017825,1
0.000435,0.000435,177,0.077023,0,1
0,0,309,0.206,0.000666,1
0.000123,0.000092,102,0.003127,0.000031,1
0,0,57,0.075497,0,1
0.000132,0.000326,201,0.000887,0.020843,1
0,0.000108,147,0.015822,0,1
0.000443,0.000443,339,0.01156,0.000034,1
0,0,405,0.063006,0,1
0.000272,0.000136,111,0.007555,0.024433,1
0,0.001135,357,0.405221,0.031746,1
0.000293,0.000335,105,0.004398,0.01935,1
0,0,411,0.168167,0,1
0,0.000275,309,0.084867,0,1
0.000499,0.000249,216,0.017961,0.017793,1
0.000242,0.000296,138,0.001238,0.020332,1
0,0,282,0.3,0,1
0.00044,0,285,0.125495,0,1
0.001081,0,114,0.123243,0,1
0.000222,0.000185,57,0.002108,0.025996,1
0,0,468,0.635007,0,1
0,0,5190,0.530946,0,1
0,0,69,0.119377,0,1
0,0.000401,360,0.07213,0.023037,1
0,0,126,0.525,0,1
0,0.000271,285,0.077215,0.041983,1
0.00076,0.00076,15,0.011407,0.027356,1
0.000365,0,129,0.023562,0,1
0,0,105,0.504808,0,1
0.000637,0.000849,408,0.086587,0.025461,1
0,0.000343,15,0.005141,0,1
0,0,324,0.165475,0.040837,1
0.000761,0,345,0.065639,0.031196,1
0.000048,0.000484,411,0.019883,0.019834,1
0.000453,0.000603,198,0.029869,0.024736,1
0,0,219,0.067634,0.025316,1
0.00018,0.000721,498,0.089811,0,1
0.00012,0,453,0.054441,0,1
0.001771,0,204,0.120425,0,1
0.000596,0.000298,390,0.029031,0.000074,1
0,0,12,0.001929,0,1
0,0.000375,288,0.035982,0.025484,1
0.000716,0,909,0.325573,0,1
0,0.000215,159,0.008536,0.020293,1
0.0004,0,102,0.02038,0,1
0,0,153,0.138336,0.000903,1
0.000052,0.000531,108,0.001124,0.02155,1
0.000187,0.000936,195,0.036517,0.028646,1
0.000129,0.000472,369,0.01582,0.005102,1
0.000471,0.000236,708,0.166863,0.032752,1
0,0,186,0.316327,0.032258,1
0.000537,0,129,0.069243,0,1
0,0.000759,30,0.022762,0,1
0.00065,0.00065,351,0.114109,0,1
0,0,228,0.312329,0.039672,1
0,0,228,0.0529,0,1
0,0,3036,0.957427,0,1
0,0.000298,156,0.046553,0,1
0,0,129,0.235401,0.023679,1
0,0,246,0.192488,0.056294,1
0.000476,0.000159,234,0.037155,0,1
0,0.001074,444,0.079499,0,1
0.000014,0.00014,423,0.005924,0.020741,1
0.000246,0.000123,159,0.019586,0,1
0,0.000426,291,0.123883,0.037447,1
0,0.00061,213,0.043328,0.028473,1
0,0,1452,0.150951,0.022765,1
0,0.000381,96,0.018275,0,1
0,0,240,0.991736,0.049383,1
0,0,543,0.998162,0,1
0.000302,0.000151,765,0.115437,0.019463,1
0.000677,0.000903,288,0.064997,0.021209,1
0,0.000585,408,0.119438,0.02312,1
0,0,126,0.382979,0.027273,1
0,0.003883,513,0.996117,0,1
0,0,147,0.155556,0.027484,1
0,0.000286,723,0.206985,0,1
0,0,81,0.30916,0.011407,1
0,0,192,0.458234,0.030952,1
0,0,162,0.153409,0.017975,1
0.000208,0.000238,147,0.004375,0.00006,1
0,0.000997,267,0.133034,0,1
0.000475,0,90,0.021362,0.018747,1
0,0.000768,321,0.061612,0.018998,1
0,0,24,0.028986,0.036188,1
0.00056,0,162,0.090655,0.019575,1
0,0,183,0.60596,0.019802,1
0,0,96,0.075889,0.018167,1
0,0.000505,354,0.178698,0.0333,1
0,0,144,0.035768,0,1
0.000387,0,225,0.029032,0.020255,1
0.000336,0.000312,30,0.00024,0.021421,1
0,0.002457,1095,0.896806,0.06383,1
0,0,108,0.112033,0.098446,1
0,0,624,0.739336,0,1
0,0,213,0.712375,0,1
0,0,177,0.268589,0,1
0,0,270,0.190678,0.036697,1
0.000423,0.000845,60,0.025359,0.028306,1
0.000302,0.000362,66,0.003983,0.043268,1
0.001126,0.001126,411,0.07714,0.042597,1
0,0,222,0.936709,0.10084,1
0.000284,0.000284,1974,0.561274,0.016771,1
0.000065,0.001136,147,0.002386,0.036215,1
0,0.00068,189,0.042857,0.032192,1
0,0,63,0.153659,0.034063,1
0.000144,0.000432,180,0.012958,0,1
0,0,126,0.075404,0.031699,1
0.000241,0,237,0.028571,0.015791,1
0,0,624,0.379793,0,1
0.000072,0.000297,414,0.004235,0.020396,1
0,0.001219,540,0.329068,0.054202,1
0.001536,0.000384,159,0.06106,0.02572,1
0,0,423,0.863265,0.071283,1
0.000584,0.000146,201,0.02936,0.027895,1
0.000137,0.000206,42,0.002878,0,1
0,0,240,0.242669,0.041414,1
0,0,321,0.284574,0.04783,1
0,0.000266,1971,0.174905,0.032564,1
0,0,225,0.961538,0.012766,1
0,0,486,0.686441,0,1
0.000167,0,54,0.009029,0,1
0,0.000107,153,0.016322,0.019733,1
0,0,1488,0.343728,0.033718,1
0,0,162,0.322709,0.039761,1
0.000718,0,132,0.047414,0,1
0,0,75,0.01781,0,1
0,0.000405,381,0.154439,0.027958,1
0,0.000462,315,0.072782,0.024948,1
0.000233,0.000233,66,0.015356,0.023726,1
0,0,552,0.835098,0,1
0.000217,0.000217,180,0.013026,0,1
0.000316,0.000277,624,0.024659,0.019244,1
0.000087,0.000262,33,0.002884,0,1
0,0,114,0.338279,0,1
0,0,36,0.155844,0.038793,1
0.000317,0.000159,408,0.064721,0.029183,1
0,0,138,0.654028,0,1
0.000473,0.000118,213,0.025168,0.020558,1
0.000747,0.000373,237,0.088466,0.054104,1
0.00003,0.000122,90,0.00274,0.018756,1
0,0,291,0.996575,0.064846,1
0,0,33,0.078385,0,1
0,0,231,0.02541,0.029366,1
0,0,453,0.144498,0,1
0,0,2442,0.979543,0.02927,1
0,0,387,0.834052,0,1
0,0,240,0.156965,0.003922,1
0,0,168,0.096942,0,1
0.000429,0.000375,204,0.010938,0.022947,1
0,0,129,0.387387,0.038922,1
0.000162,0.000385,126,0.001277,0.017314,1
0.000274,0.000274,42,0.01151,0,1
0,0,84,0.041136,0.025453,1
0.000628,0,1065,0.66897,0,1
0.000382,0.000765,204,0.026004,0.034158,1
0,0,177,0.662921,0,1
0,0,825,0.853154,0.079545,1
0,0,153,0.05652,0.023634,1
0.00027,0.000135,39,0.00526,0.018204,1
0,0,147,0.123737,0.026072,1
0,0,186,0.030871,0.021075,1
0,0.000316,102,0.008054,0,1
0,0,66,0.09116,0.023448,1
0,0.000839,345,0.09653,0,1
0,0,141,0.092157,0,1
0,0.000267,201,0.053743,0.029939,1
0,0,171,0.838235,0.112195,1
0.000402,0.000643,300,0.0241,0.022652,1
0,0,267,0.143164,0,1
0.000438,0.000547,1050,0.038282,0,1
0.000051,0.000103,519,0.026682,0.02154,1
0,0,60,0.043011,0,1
0,0,237,0.995798,0.029289,1
0.000293,0.000147,78,0.002288,0.018542,1
0,0,84,0.316981,0.041353,1
0,0,138,0.096033,0.02573,1
0,0,12,0.037618,0.021875,1
0,0,315,1,0.082278,1
0,0,141,0.463816,0,1
0.000141,0.000393,177,0.002783,0.019808,1
0,0.000384,267,0.034187,0,1
0,0,249,0.204601,0,1
0,0.000263,84,0.022105,0.021573,1
0,0,216,0.903766,0.8,1
0,0.001157,213,0.246528,0.02659,1
0,0,429,0.207849,0,1
0,0.000301,1689,0.508582,0,1
0,0,1122,0.784067,0,1
0,0,135,0.095949,0,1
0.000293,0.00039,228,0.022242,0.000098,1
0,0.002404,366,0.879808,0,1
0,0,177,0.261062,0.032401,1
0,0.000137,330,0.045193,0.030125,1
0,0,81,0.083505,0.017508,1
0.000358,0.000717,501,0.089753,0,1
0,0,5187,0.781175,0,1
0,0.00051,108,0.055074,0,1
0.000324,0.000649,369,0.059835,0,1
0.000112,0,159,0.017757,0,1
0,0,135,0.27,0.035928,1
0,0.000103,390,0.020045,0.019273,1
0.000449,0.00015,189,0.014144,0.029632,1
0,0,84,0.114754,0,1
0.000217,0.000217,111,0.024125,0.038027,1
0,0,24,0.056872,0,1
0.000312,0.00052,231,0.024027,0.017161,1
0.000183,0.000214,192,0.001952,0.011856,1
0,0,909,0.970117,0,1
0,0,207,0.099424,0.029765,1
0,0,90,0.059367,0,1
0.000447,0.000569,135,0.00549,0.000041,1
0.000324,0.001945,243,0.039378,0.000486,1
0,0.000272,96,0.013075,0.018657,1
0,0,78,0.052455,0.024194,1
0.000171,0.000171,390,0.066769,0.022766,1
0,0,195,0.071982,0.025092,1
0,0,225,0.681818,0,1
0,0,435,0.408835,0.047887,1
0.000105,0.000227,336,0.005865,0.02304,1
0,0,567,0.913043,0.036977,1
0,0,66,0.205607,0,1
0,0.000266,528,0.140314,0,1
0,0,1593,0.998746,0,1
0,0.001372,531,0.015835,0,1
0,0,237,0.157685,0.017952,1
0,0,207,0.828,0.075697,1
0,0,108,0.526829,0.121359,1
0.000221,0.000147,540,0.039811,0.023,1
0,0.000351,1350,0.474017,0.048087,1
0,0.000195,195,0.009505,0.00078,1
0.000318,0,156,0.049603,0,1
0.000143,0,12,0.000858,0.020296,1
0,0,138,0.501818,0,1
0,0,129,0.121469,0,1
0.000324,0.000162,9,0.00146,0.002432,1
0,0.001074,405,0.144953,0.030054,1
0.000402,0,102,0.020486,0,1
0,0,138,0.630137,0,1
0,0,276,0.121854,0.023389,1
0.000356,0.001067,393,0.139808,0,1
0.000199,0.001093,414,0.041149,0,1
0,0,1008,0.99802,0.043521,1
0,0.000182,243,0.006331,0.018523,1
0,0.000993,150,0.049652,0,1
0,0,126,0.189474,0,1
0,0,147,0.735,0,1
0,0.000446,1437,0.641518,0,1
0.000099,0.000298,210,0.020846,0,1
0,0,330,1,0,1
0,0,1098,0.634315,0.034065,1
0.000321,0,747,0.239423,0.045498,1
0.000576,0,39,0.022453,0.030495,1
0,0,180,0.529412,0.064516,1
0,0,222,0.101882,0,1
0,0,297,0.069231,0,1
0,0,90,0.432692,0.028708,1
0.000138,0.000692,144,0.003984,0.016545,1
0,0.000783,96,0.075176,0,1
0,0,57,0.059811,0.056604,1
0.001309,0.001309,222,0.145288,0.101373,1
0.000382,0.000573,279,0.053326,0,1
0,0.00043,135,0.05799,0,1
0,0,159,0.296089,0.042751,1
0.000228,0.000076,90,0.006855,0,1
0,0,42,0.190909,0.013575,1
0,0,402,0.514725,0.003836,1
0.000254,0,339,0.085953,0.025856,1
0.000148,0.000443,81,0.011968,0.011375,1
0,0,264,0.778761,0.038235,1
0,0,78,0.146341,0,1
0,0,339,0.103924,0.01992,1
0,0,195,0.603715,0.055556,1
0,0,423,0.49186,0.013937,1
0,0,216,0.439919,0,1
0.000123,0.000123,225,0.027604,0.020731,1
0.00073,0.001095,360,0.032853,0.019436,1
0,0,804,0.342128,0,1
0,0,630,0.909091,0,1
0,0,87,0.233871,0.034853,1
0,0.000535,300,0.160428,0.042758,1
0,0.000149,66,0.004909,0.000074,1
0.000747,0,186,0.027807,0,1
0.000506,0,282,0.142568,0.029308,1
0.000465,0.000452,1617,0.022126,0.022522,1
0,0.007812,159,0.414062,0.05974,1
0,0,213,0.729452,0,1
0.000121,0,276,0.033309,0,1
0.000153,0.000076,159,0.012154,0.018115,1
0,0,159,0.261513,0,1
0,0,279,0.341076,0,1
0,0.003546,18,0.06383,0,1
0,0,78,0.049118,0.016362,1
0,0,57,0.02961,0,1
0,0,477,0.033243,0,1
0.000155,0,195,0.03013,0.004326,1
0,0,243,0.237305,0,1
0,0,33,0.032448,0,1
0,0,408,0.778626,0.020952,1
0,0.000782,69,0.017987,0,1
0,0,207,0.701695,0.033784,1
0,0,123,0.112844,0,1
0.000378,0,183,0.017271,0.024913,1
0,0,456,0.545455,0.04779,1
0,0,174,0.304196,0,1
0,0,390,0.26387,0,1
0.000127,0.000085,318,0.013473,0,1
0,0,174,0.304729,0.003497,1
0,0,399,0.182026,0.028272,1
0.000362,0,54,0.01953,0,1
0,0.000059,189,0.011233,0.023415,1
0,0.001572,414,0.650943,0.021978,1
0,0.0007,153,0.021432,0,1
0,0,171,0.451187,0,1
0,0,129,0.509881,0,1
0,0,207,0.483645,0,1
0.00022,0.00022,69,0.015192,0,1
0.000114,0.000277,768,0.002909,0.000318,1
0.000209,0.000209,192,0.040218,0.037696,1
0,0,231,0.868421,0,1
0,0,69,0.068794,0,1
0,0,255,0.141274,0,1
0,0,96,0.253968,0.01847,1
0,0,153,0.542553,0.024735,1
0.000621,0,264,0.163975,0.027312,1
0.000315,0,150,0.047304,0,1
